nomor_bupot;Masa_Pajak;Kode_objek_pajak;DPP;Pajak_Penghasilan;NPWP_Pemotong;Nama_Pemotong;Tanggal_bupot;tanggal_dokumen
250267OTO;05-2025;22-910-01;2401802;36027;0002989515512000;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH KOTA SEMARANG;15 Mei 2025;22 Mei 2025
250851KU2;12-2025;24-100-02;5677000;113540;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;05 Desember 2025;31 Desember 2025
250851L0W;12-2025;24-100-02;800000;16000;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;02 Desember 2025;31 Desember 2025
25088TAKL;12-2025;24-100-02;650000;13000;0636611071505000;ARTIVERSE APPAREL SEMARANG;12 Agustus 2025;31 Desember 2025
25088TAKI;12-2025;24-100-02;400000;8000;0636611071505000;ARTIVERSE APPAREL SEMARANG;12 Agustus 2025;31 Desember 2025
2508D52CQ;12-2025;22-910-01;5405405;81081;0002973782514000;DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU KABUPATEN;01 Desember 2025;12 Januari 2026
2508DLRIF;12-2025;22-910-01;5950450;89257;0955493663512000;BADAN PERENCANAAN PEMBANGUNAN DAERAH KOTA SEMARANG;03 November 2025;14 Januari 2026
2508DLRIT;12-2025;22-910-01;6432432;96486;0955493663512000;BADAN PERENCANAAN PEMBANGUNAN DAERAH KOTA SEMARANG;05 Desember 2025;14 Januari 2026
2508DLRIC;12-2025;22-910-01;5162162;77432;0955493663512000;BADAN PERENCANAAN PEMBANGUNAN DAERAH KOTA SEMARANG;01 Desember 2025;14 Januari 2026
2508K17M3;12-2025;22-910-01;24684685;370270;0002874394517000;KECAMATAN GAJAHMUNGKUR KOTA SEMARANG;15 Desember 2025;05 Januari 2026
2508L6SKY;12-2025;24-104-65;200000;4000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;19 Desember 2025;19 Desember 2025
2508L7I75;12-2025;22-910-01;8550000;128250;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;02 Desember 2025;08 Desember 2025
2508L7I8Q;12-2025;22-910-01;3000000;45000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;02 Desember 2025;08 Desember 2025
2508L7IDB;12-2025;22-910-01;2849099;42736;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;05 Desember 2025;05 Desember 2025
2508L7MYU;12-2025;22-910-01;1692943;25394;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 Desember 2025;03 Desember 2025
2508L7N13;12-2025;22-910-01;4475976;67140;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 Desember 2025;03 Desember 2025
2508L7N1S;12-2025;24-104-65;600000;12000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;02 Desember 2025;02 Desember 2025
2508L7U11;12-2025;22-910-01;4054054;60811;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;01 Desember 2025;01 Desember 2025
2508LFN7H;12-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;08 Desember 2025;08 Desember 2025
2508LFN9L;12-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;08 Desember 2025;08 Desember 2025
2508LFNA3;12-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;02 Desember 2025;08 Desember 2025
